Year,Month,Day,Hour,temperature_f,wind_speed_mph,wind_bearing_deg,relative_humidity,visibility_miles_max_10,pressure_mb,Value
2014,1,6,9,29.41,6.14,138,0.77,1.48,NA,149
2014,1,6,10,29.77,5.96,146,0.77,1.31,NA,123
2014,1,6,11,30.02,4.08,156,0.76,1.66,1027.93,150
2014,1,6,12,32.23,6.23,168,0.75,1.19,NA,146
2014,1,6,13,32.47,6.62,151,0.68,1.42,NA,145
2014,1,6,14,31.92,6,140,0.68,1.95,1024.46,160
2014,1,6,15,32.47,3.9,156,0.68,1.45,NA,148
2014,1,6,16,32.23,3.9,146,0.64,1.56,NA,156
2014,1,6,17,29.43,2.99,116,0.72,2.36,1024.46,158
2014,1,6,18,28,1.97,93,0.77,1.82,NA,167
2014,1,6,19,29.77,2,69,0.77,1.81,NA,171
2014,1,6,20,28.43,1.69,88,0.74,1.94,1025.52,177
2014,1,6,21,29.77,2,80,0.72,1.79,NA,185
2014,1,6,22,30,1.82,103,0.71,1.79,NA,201
2014,1,6,23,30,2.15,92,0.71,1.79,1024.7,217
2014,1,7,0,30,0,NA,0.71,1.79,NA,208
2014,1,7,1,27.12,0.47,80,0.79,1.71,NA,204
2014,1,7,2,26.22,0.76,356,0.75,1.67,1025.06,213
2014,1,7,3,27.12,3.9,6,0.79,1.54,NA,256
2014,1,7,4,27.12,4.34,352,0.8,1.53,NA,211
2014,1,7,5,25.51,5.32,341,0.76,1.71,1025.19,203
2014,1,7,6,23.82,6.38,359,0.81,1.36,NA,212
2014,1,7,7,25.59,8.39,349,0.84,1.53,NA,205
2014,1,7,8,27.27,5.83,345,0.72,3.34,1026.77,196
2014,1,7,9,32,8.75,349,0.6,2.07,NA,182
2014,1,7,10,35.77,8.99,359,0.47,2.88,NA,124
2014,1,7,11,35.47,7.58,10,0.37,4.8,1027.9,102
2014,1,7,12,38.77,10.92,25,0.29,1.7,NA,77
2014,1,7,13,41,9.08,26,0.22,2.2,NA,48
2014,1,7,14,39.6,7.28,5,0.23,9.38,1026.39,38
2014,1,7,15,41,11,20,0.2,3.1,NA,31
2014,1,7,16,38.77,11,110,0.26,1.9,NA,27
2014,1,7,17,36.6,5.88,2,0.24,9.33,1028.32,33
2014,1,7,18,34,6.03,342,0.29,2.5,NA,35
2014,1,7,19,31.77,6.04,14,0.25,3.8,NA,29
2014,1,7,20,28.92,5.73,347,0.31,9.19,1030.97,24
2014,1,7,21,33.77,10.18,10,0.19,5,NA,26
2014,1,7,22,28.23,8.59,354,0.3,NA,NA,11
2014,1,7,23,27.12,6.59,12,0.3,10,1032.3,14
2014,1,8,0,27.12,9.88,3,0.3,NA,NA,12
2014,1,8,1,23.47,9.93,0,0.36,3.8,NA,9
2014,1,8,2,22.99,8.44,354,0.39,8.72,1033.17,11
2014,1,8,3,24.77,8.41,1,0.34,1.9,NA,15
2014,1,8,4,24.77,4,20,0.32,1.9,NA,13
2014,1,8,5,21.3,3.65,0,0.4,9.33,1033.69,15
2014,1,8,6,21,8.67,7,0.36,3.8,NA,17
2014,1,8,7,19.23,8.67,7,0.38,4.4,NA,19
2014,1,8,8,20.41,7.62,11,0.37,9.1,1035.45,18
2014,1,8,9,25.23,7.22,359,0.29,5,NA,21
2014,1,8,10,30,7.23,0,0.23,NA,NA,17
2014,1,8,11,28.86,7.52,333,0.23,10,1035.96,22
2014,1,8,12,32,19.43,322,0.1,NA,NA,23
2014,1,8,13,33.77,13,350,0.11,NA,NA,16
2014,1,8,14,29.91,13.81,335,0.15,10,1032.85,22
2014,1,8,15,32,13,350,0.16,NA,NA,18
2014,1,8,16,30,14.41,295,0.15,NA,NA,17
2014,1,8,17,27.62,9.27,317,0.16,10,1033.14,21
2014,1,8,18,27.88,8.1,321,0.17,NA,NA,23
2014,1,8,19,27.41,11,320,0.14,NA,NA,22
2014,1,8,20,22.57,7.36,335,0.24,9.29,1034.58,21
2014,1,8,21,19.47,6.18,0,0.25,3.8,NA,23
2014,1,8,22,21,1.77,0,0.23,3.8,NA,53
2014,1,8,23,19.23,1.34,297,0.3,9.27,1034.5,66
2014,1,9,0,18.12,1.7,7,0.33,3.1,NA,52
2014,1,9,1,12.7,3.3,0,0.39,3.1,NA,30
2014,1,9,2,10.85,7.37,343,0.44,8.83,1034.1,10
2014,1,9,3,18,7.83,319,0.33,3.1,NA,10
2014,1,9,4,16.82,6.3,328,0.33,3.1,NA,13
2014,1,9,5,17.3,6.7,316,0.31,9.18,1033.61,11
2014,1,9,6,19,7,320,0.2,NA,NA,14
2014,1,9,7,18.88,8.99,331,0.25,4.4,NA,20
2014,1,9,8,17.08,5,328,0.31,8.72,1034.58,22
2014,1,9,9,25,8.94,312,0.17,5,NA,23
2014,1,9,10,27.88,13.13,324,0.13,NA,NA,20
2014,1,9,11,26.92,10.77,322,0.15,9.26,1034.21,17
2014,1,9,12,31.77,11,330,0.08,NA,NA,14
2014,1,9,13,33.53,16,330,0.07,NA,NA,10
2014,1,9,14,33.77,13,320,0.07,10,1029.8,10
2014,1,9,15,33.77,14.33,310,0.06,NA,NA,27
2014,1,9,16,31.53,11.92,311,0.08,NA,NA,44
2014,1,9,17,28.08,6.33,206,0.16,10,1030.17,53
2014,1,9,18,27.88,7,210,0.2,NA,NA,59
2014,1,9,19,27.88,4,220,0.2,5,NA,56
2014,1,9,20,23.84,4.71,181,0.24,5.9,1031.31,58
2014,1,9,21,21.47,4,210,0.27,3.8,NA,66
2014,1,9,22,18.82,3.13,6,0.3,3.1,NA,73
2014,1,9,23,17.05,1.54,28,0.37,5.27,1031.5,83
2014,1,10,0,17.05,1.57,16,0.38,2.2,NA,81
2014,1,10,1,13.29,1.03,24,0.45,1.9,NA,91
2014,1,10,2,13.82,0.54,327,0.41,4.73,1031.6,104
2014,1,10,3,11.52,6.12,356,0.45,1.9,NA,88
2014,1,10,4,13.29,1.67,323,0.43,1.6,NA,85
2014,1,10,5,10.74,2.65,330,0.48,4.55,1031.62,66
2014,1,10,6,10.64,3.48,337,0.47,1.1,NA,47
2014,1,10,7,10.17,6.18,0,0.47,1,NA,70
2014,1,10,8,14.02,6.44,339,0.46,3.97,1032.51,61
2014,1,10,9,21.23,6.18,2,0.35,1.1,NA,47
2014,1,10,10,27.12,4,140,0.27,1.2,NA,61
2014,1,10,11,26.5,1.62,21,0.28,7.9,1032.88,69
2014,1,10,12,34,2,240,0.13,1.5,NA,66
2014,1,10,13,38.65,4,210,0.11,1.9,NA,63
2014,1,10,14,35.68,3.94,247,0.14,9.03,1030.1,43
2014,1,10,15,38.77,11.41,298,0.1,1.9,NA,48
2014,1,10,16,36.88,7.88,317,0.14,1.6,NA,67
2014,1,10,17,33.93,6.43,232,0.18,8.13,1030.6,87
2014,1,10,18,33.77,4,210,0.17,1.1,NA,127
2014,1,10,19,30.23,3.94,183,0.22,1.1,NA,126
2014,1,10,20,26.08,3.16,205,0.29,4.25,1032.15,126
2014,1,10,21,22.05,2.85,78,0.36,0.9,NA,106
2014,1,10,22,21.23,1.66,85,0.38,0.8,NA,104
2014,1,10,23,19.17,1.51,114,0.69,2.39,1032.2,118
2014,1,11,0,19.17,0.95,60,0.69,4.51,NA,141
2014,1,11,1,17.05,1.74,352,0.48,3.98,NA,199
2014,1,11,2,14.92,0.93,4,0.51,3.63,1032.78,262
2014,1,11,3,15.52,3.07,358,0.51,3.45,NA,234
2014,1,11,4,14.59,2,180,0.49,3.43,NA,221
2014,1,11,5,10.78,4.68,6,0.58,4.34,1032.68,177
2014,1,11,6,10.94,7.95,0,0.52,4.46,NA,135
2014,1,11,7,12.47,3.36,3,0.49,4.44,NA,108
2014,1,11,8,13.26,2.12,354,0.55,4.78,1033.08,97
2014,1,11,9,24.77,6,351,0.34,0.2,NA,87
2014,1,11,10,29.77,4,190,0.27,0.3,NA,85
2014,1,11,11,29.54,2.44,180,0.28,2.95,1032.36,81
2014,1,11,12,35.53,7,190,0.17,0.4,NA,82
2014,1,11,13,38.41,NA,NA,0.16,0.6,NA,81
2014,1,11,14,38.72,2.5,241,0.18,5.66,1028.66,111
2014,1,11,15,40.41,4,200,0.14,0.7,NA,143
2014,1,11,16,36.41,8.75,191,0.19,0.4,NA,153
2014,1,11,17,33.78,5.06,235,0.27,5.13,1028.71,189
2014,1,11,18,35.06,4,200,0.27,3.4,NA,244
2014,1,11,19,28,7,200,0.88,3.39,NA,273
2014,1,11,20,25.48,3.67,338,0.6,4.33,1030.94,218
2014,1,11,21,23.47,6.04,346,0.37,3.39,NA,227
2014,1,11,22,27.41,2,320,0.35,3.92,NA,95
2014,1,11,23,32.71,16.93,321,0.25,0.3,1032.1,20
2014,1,12,5,23.05,5.9,6,0.25,10,1036.03,12
2014,1,12,6,19.23,4.57,348,0.3,NA,NA,12
2014,1,12,7,19.23,8.39,1,0.3,NA,NA,17
2014,1,12,8,21.22,3.42,339,0.28,9.85,1038.66,33
2014,1,12,9,29.77,4,350,0.21,NA,NA,22
2014,1,12,10,30,6.63,54,0.18,NA,NA,20
2014,1,12,11,30.09,4.54,329,0.16,10,1039.25,10
2014,1,12,12,35.77,NA,NA,0.11,NA,NA,14
2014,1,12,13,36.88,7,310,0.1,NA,NA,12
2014,1,12,14,35.14,2.35,70,0.12,10,1036.12,12
2014,1,12,15,38.65,4,10,0.09,NA,NA,8
2014,1,12,16,35.77,2,0,0.1,NA,NA,19
2014,1,12,17,33.24,2.86,250,0.13,10,1035.73,40
2014,1,12,18,33.3,2,170,0.14,NA,NA,37
2014,1,12,19,31.53,7,200,0.22,NA,NA,42
2014,1,12,20,22.55,1.43,191,0.31,5.25,1035.99,56
2014,1,12,21,23.47,7,210,0.31,5,NA,62
2014,1,12,22,21.7,1.13,339,0.36,5,NA,57
2014,1,12,23,19.05,0.97,48,0.4,4.47,1035.2,57
2014,1,13,0,18.82,7,210,0.62,3.8,NA,75
2014,1,13,1,18.82,0.97,12,0.57,3.8,NA,96
2014,1,13,2,14.5,2.13,343,0.47,4.86,1034.84,110
2014,1,13,3,15.29,2.95,350,0.5,4.25,NA,97
2014,1,13,4,13.29,2.85,352,0.5,4.25,NA,105
2014,1,13,5,12.57,1.17,197,0.55,4.92,1033.87,84
2014,1,13,6,11.52,3.32,3,0.59,4.14,NA,106
2014,1,13,7,13.29,1.81,324,0.74,4.64,NA,112
2014,1,13,8,14.82,0.72,43,0.58,5.16,1034.25,120
2014,1,13,9,21.7,2.85,12,0.68,4.71,NA,117
2014,1,13,10,27.12,7,230,0.6,4.14,NA,118
2014,1,13,11,28.23,0.98,135,0.31,4.13,1033.4,106
2014,1,13,12,34,NA,NA,0.2,3.72,NA,96
2014,1,13,13,36,NA,NA,0.17,3.68,NA,82
2014,1,13,14,35.62,1.67,206,0.19,5.33,1030.18,63
2014,1,13,15,36.88,4,250,0.16,3.68,NA,79
2014,1,13,16,34.23,1.57,94,0.18,3.68,NA,125
2014,1,13,17,29.48,0.65,68,0.29,5.08,1030.03,119
2014,1,13,18,27.12,1.97,103,0.69,3.58,NA,115
2014,1,13,19,21.7,3.58,84,0.4,3.54,NA,131
2014,1,13,20,21.72,1.44,45,0.46,4.51,1031.71,177
2014,1,13,21,23.82,2.19,161,0.42,2.88,NA,287
2014,1,13,22,18.82,3.07,52,0.84,2.34,NA,299
2014,1,13,23,19.23,1.77,20,0.51,2.32,1032.6,250
2014,1,14,0,19.23,3.69,3,0.92,2.32,NA,159
2014,1,14,1,18.35,6.18,0,0.46,2.87,NA,124
2014,1,14,2,14.13,6.18,353,0.49,4.62,1033.97,123
2014,1,14,3,12.7,7.96,353,0.53,4.53,NA,49
2014,1,14,4,16.35,6.3,2,0.51,4.54,NA,36
2014,1,14,5,15.43,2.42,45,0.52,5.32,1034.68,59
2014,1,14,6,12.47,7,340,0.58,4.54,NA,85
2014,1,14,7,10.7,3.97,8,0.92,4.07,NA,170
2014,1,14,8,15.97,3.33,16,0.58,3.83,1035.95,180
2014,1,14,9,23,2,11,0.54,2.69,NA,227
2014,1,14,10,29.41,4,20,0.3,4.67,NA,199
2014,1,14,11,28.89,0.37,172,0.31,4.14,1036.44,168
2014,1,14,12,35.3,2,50,0.19,1.9,NA,93
2014,1,14,13,35.77,2,310,0.18,1.9,NA,80
2014,1,14,14,35.17,2.39,235,0.22,4.96,1033.75,111
2014,1,14,15,36.88,2,350,0.17,1.9,NA,133
2014,1,14,16,35.77,0,NA,0.22,2.2,NA,135
2014,1,14,17,32.56,6.6,206,0.29,5.72,1033.77,94
2014,1,14,18,31.53,0,NA,0.38,4.14,NA,103
2014,1,14,19,31.41,2,50,0.35,4.14,NA,92
2014,1,14,20,24.85,1.46,222,0.45,4.05,1034.62,93
2014,1,14,21,21.47,1.9,144,0.57,3.47,NA,109
2014,1,14,22,21.82,2,250,0.56,2.84,NA,122
2014,1,14,23,19.23,2.04,151,0.67,2.81,1034.2,123
2014,1,15,0,18.35,1.66,85,0.6,2.81,NA,122
2014,1,15,1,16.35,2,200,0.64,2.81,NA,172
2014,1,15,2,14.5,2.49,17,0.59,3.35,1034.42,213
2014,1,15,3,14.59,3.1,337,0.6,2.8,NA,196
2014,1,15,4,16.23,3.39,327,0.92,3.93,NA,158
2014,1,15,5,14.83,0.96,90,0.72,4.75,1033.54,103
2014,1,15,6,14.47,2,170,0.59,4.44,NA,90
2014,1,15,7,17.77,3.53,340,1,0.2,NA,70
2014,1,15,8,17.74,4.88,318,0.72,3.12,1034.11,67
2014,1,15,9,25,6,339,0.92,0.4,NA,66
2014,1,15,10,30,3.32,323,0.33,0.6,NA,52
2014,1,15,11,31.14,1.81,1,0.31,5.42,1033.84,55
2014,1,15,12,38.65,9,240,0.19,0.6,NA,51
2014,1,15,13,38.65,4,230,0.19,0.6,NA,47
2014,1,15,14,39.12,1.37,152,0.23,8.21,1029.8,48
2014,1,15,15,40.41,4,200,0.18,0.6,NA,60
2014,1,15,16,36.65,3.74,142,0.2,0.6,NA,88
2014,1,15,17,33.33,3.18,155,0.28,2.95,1029.33,279
2014,1,15,18,35.77,8.41,191,0.33,3.43,NA,435
2014,1,15,19,32.23,3.64,157,0.41,3.43,NA,489
2014,1,15,20,28.63,1.97,192,0.5,3.22,1029.43,513
2014,1,15,21,28,1.9,114,0.54,2.78,NA,539
2014,1,15,22,27.88,3.56,98,0.59,2.24,NA,567
2014,1,15,23,26.77,3.65,83,0.58,2.23,1028.8,569
2014,1,16,0,26.77,1.92,95,0.66,2.23,NA,659
2014,1,16,1,26.53,2,140,0.67,1.97,NA,648
2014,1,16,2,25.45,2.58,19,0.68,2.34,1027.54,651
2014,1,16,3,26.53,2,90,0.66,1.08,NA,671
2014,1,16,4,26.53,2.1,80,0.74,1.09,NA,623
2014,1,16,5,24.77,1.96,64,0.69,2.16,1026.7,618
2014,1,16,6,23,3.54,354,0.82,1.02,NA,532
2014,1,16,7,23.23,1.77,40,0.86,0.84,NA,477
2014,1,16,8,21.83,2.76,6,0.74,2.1,1028.27,479
2014,1,16,9,25.35,1.81,54,0.81,0.74,NA,490
2014,1,16,10,31.77,7,20,0.52,0.82,NA,476
2014,1,16,11,33.36,5.8,5,0.41,2.17,1028.74,457
2014,1,16,12,36.41,6.74,15,0.47,1.45,NA,327
2014,1,16,13,38.18,9,350,0.41,1.46,NA,161
2014,1,16,14,38.43,3.69,68,0.35,3.22,1026.92,286
2014,1,16,15,39.95,4,340,0.28,1.99,NA,298
2014,1,16,16,36.41,3.48,107,0.35,1.99,NA,310
2014,1,16,17,34.75,1,179,0.47,3.41,1028.36,332
2014,1,16,18,33.53,4.39,121,0.58,1.47,NA,391
2014,1,16,19,32,4.02,136,0.71,1.11,NA,437
2014,1,16,20,29.18,2.04,147,0.69,1.88,1030.54,422
2014,1,16,21,30,7,100,0.82,0.89,NA,320
2014,1,16,22,29.77,7.07,149,0.82,0.94,NA,346
2014,1,16,23,29.65,4.76,125,0.81,1.09,1031.4,351
2014,1,17,0,27.88,10.28,145,0.8,1.33,NA,297
2014,1,17,1,27.65,6.28,126,0.81,1.42,NA,290
2014,1,17,2,25.59,6.19,149,0.77,2.9,1031.52,250
2014,1,17,3,27.88,9.56,157,0.62,3.25,NA,170
2014,1,17,4,27.88,10.12,144,0.58,3.8,NA,103
2014,1,17,5,24.63,10.02,156,0.61,5.33,1031.41,79
2014,1,17,6,26.77,3.56,162,0.59,4.86,NA,73
2014,1,17,7,26.77,4.02,126,0.59,4.71,NA,74
2014,1,17,8,24.73,1.93,123,0.6,4.99,1032.43,77
2014,1,17,9,27.88,4,130,0.57,2.5,NA,81
2014,1,17,10,29.65,4,110,0.54,2.5,NA,95
2014,1,17,11,31.65,2.11,251,0.47,5.96,1033.19,115
2014,1,17,12,35.3,2,310,0.41,4.67,NA,77
2014,1,17,13,38.41,7,330,0.33,4.64,NA,67
2014,1,17,14,38.14,6.52,312,0.3,5.58,1030.83,13
2014,1,17,15,40.41,16.71,292,0.17,1.6,NA,12
2014,1,17,16,40.41,16.7,290,0.16,1.6,NA,10
2014,1,17,17,36.47,9.61,287,0.22,3.69,1031.48,195
2014,1,17,18,36.65,12.25,279,0.18,1.9,NA,238
2014,1,17,19,36.41,9,280,0.2,1.6,NA,293
2014,1,17,20,34.18,9.48,280,0.27,2.86,1032.95,384
2014,1,17,21,32,11,280,0.75,1.2,NA,381
2014,1,17,22,35.3,10.15,326,0.22,1,NA,296
2014,1,17,23,35.3,6.63,324,0.21,0.91,1033,38
2014,1,18,0,30,8.26,345,0.3,0.9,NA,19
2014,1,18,1,29.77,3.86,344,0.88,0.8,NA,22
2014,1,18,2,27.63,7.2,309,0.78,2.32,1033.84,20
2014,1,18,3,27.12,9.8,357,0.39,0.5,NA,14
2014,1,18,4,23.59,6.45,341,0.46,0.5,NA,23
2014,1,18,5,19.57,2.36,20,0.55,2.35,1034.09,19
2014,1,18,6,23.47,1.83,5,0.48,0.6,NA,22
2014,1,18,7,21.47,6.59,358,0.48,0.9,NA,33
2014,1,18,8,23.75,5.81,350,0.48,1.82,1035.26,42
2014,1,18,9,35.77,4.11,351,0.43,1.3,NA,40
2014,1,18,10,36.88,6.83,6,0.19,2.2,NA,43
2014,1,18,11,35.56,2.7,33,0.27,3.15,1035.59,56
2014,1,18,12,42.77,2,110,0.13,3.8,NA,57
2014,1,18,13,43,4,130,0.14,NA,NA,153
2014,1,18,14,42.9,6.25,190,0.17,6.51,1032.77,108
2014,1,18,15,42.77,10.49,198,0.17,4.55,NA,89
2014,1,18,16,38.65,9.3,175,0.32,4.71,NA,87
2014,1,18,17,34.84,6.78,167,0.35,5.96,1032.05,95
2014,1,18,18,36.18,11,160,0.27,4.14,NA,111
2014,1,18,19,33.18,2.58,157,0.34,4.11,NA,112
2014,1,18,20,31.78,4.02,152,0.37,4.57,1031.64,145
2014,1,18,21,31.53,8.59,134,0.43,3.52,NA,184
2014,1,18,22,27.88,6.55,113,0.5,3.48,NA,178
2014,1,18,23,27.88,6.55,123,0.63,4.01,1031,170
2014,1,19,0,27.88,10.35,133,0.63,4,NA,161
2014,1,19,1,27.65,6.83,124,0.69,4,NA,133
2014,1,19,2,26.44,3.87,125,0.65,4.2,1029.41,114
2014,1,19,3,27.65,6.9,133,0.71,3.47,NA,112
2014,1,19,4,27,1.13,21,0.7,3.47,NA,114
2014,1,19,5,25.96,2.26,123,0.67,3.53,1027.28,130
2014,1,19,6,27.88,3.75,119,0.71,2.88,NA,133
2014,1,19,7,28.23,4,190,0.68,2.88,NA,143
2014,1,19,8,26.81,1.87,16,0.66,2.6,1025.74,137
